country,age_0_9,age_10_19,age_20_39,age_40_59,age_60_79,age_80_plus,source_year,source_sheet,source
Argentina,0.12879447296866928,0.1597531502734024,0.2995804651670498,0.2410814484254045,0.14091438147087296,0.029876081694601212,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
Australia,0.11571355718275053,0.12261931162963956,0.2722886083078588,0.2515304537780159,0.1911308122858634,0.04671725681587169,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
Austria,0.09358282491588922,0.09597211807354614,0.24659008639201266,0.2777838858827503,0.22323058988712882,0.06284049484867299,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
Belgium,0.09964253406633422,0.11650142453146857,0.24651176674644082,0.2606482674855168,0.21914746164999363,0.05754854552024589,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
Brazil,0.12627345196347928,0.13663872883725925,0.3022003181628439,0.26863821213805655,0.1457212233469191,0.02052806555144188,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
Canada,0.09723047905008342,0.10748529103659922,0.2724750286735351,0.25301388304248024,0.21990967216535473,0.049885646031947346,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
Chile,0.10292190991092061,0.12416109308793323,0.30525237235334424,0.2664509843719922,0.16753739856266295,0.033676241713146794,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
China,0.09027633261729764,0.12358142483514258,0.269582917513506,0.3012517641334586,0.1892346625595593,0.026072898341035888,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
Colombia,0.13222149692538518,0.1409566854848175,0.32901793933738044,0.2466836262527939,0.1345462329596435,0.01657401903997941,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
Denmark,0.10363994577598995,0.11059562279560857,0.2597223959922079,0.25039920819750816,0.21710403669666692,0.058538790542018534,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
