id,label,family,compartment_model,default_R0,default_exposed_period_days,default_infectious_period_days,default_mortality_percent,default_dynamic_scenario,enabled,review_status,example_version
generic,Generic,generic,SEIRD,3.0,4,7,1.0,custom_advanced,True,validated,1.0
covid19,COVID-19,respiratory,SEIRD,4.25,4,5,1.0,custom_advanced,True,validated,1.0
influenza,Influenza,respiratory,SEIRD,1.6,2,5,0.05005,custom_advanced,True,review_pending,1.0
measles,Measles,respiratory,SEIRD,15.0,10,7,0.1,custom_advanced,True,review_pending,1.0
ebola,Ebola,regional_contact,SEIRD,1.8,10,7,40.0,custom_advanced,True,review_pending,1.0
cholera,Cholera,water_associated,SEIRD,2.0,1,5,1.0,custom_advanced,True,review_pending,1.0
tuberculosis,Tuberculosis,slow_progression,SEIRD,1.2,30,60,5.0,custom_advanced,True,review_pending,1.0
